Survey name,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)",,,Report title,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)"
Survey description,This brief survey is to help us focus the day on the issues that you think are most important.,,,Report introduction,
Respondent #,Submit date,Email/Password,"Of the following 20 problems in research, please select which five (or fewer) you think are the most important to address. Please focus on the most important national issues for Australia.   (The list order has been randomised, so related policies may not be together)",,,,,,,,,,,,,,,,,,,,Are there other major problems in research in Australia that we should consider at the meeting? Please tell us below,"Which of the following 21 potential policy changes or actions would you endorse to help improve research in Australia? Please click five or fewer policies.  We appreciate that a lot of detail is missing here, but we are interested in which policies have your broad support with the details to be worked out.  (The order of the policies has been randomised)",,,,,,,,,,,,,,,,,,,,,Please suggest other possible policy changes or actions,Please share the policies or practices that you use in your own research to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,Please share the policies or practices that your institution have already implemented to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,What is your broad area of research?,
,,,current.problems,,,,,,,,,,,,,,,,,,,,other.issues,policy.endorse,,,,,,,,,,,,,,,,,,,,,your.policy,your.practice,your.inst.policy,,
25,"2019-03-18 10:04:02",,,,,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,,Researchers and the media hyping preliminary results that give the public false hope,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,Scrutiny by senior statisticians of (almost) all manuscripts before submission to journals,Audit of randomly selected projects. examining ethics and data management issues,Health Services Research,
26,"2019-03-18 10:05:32",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,,,,Our institute has provided tools and information to encourage better experimental design (e.g. structured randomisation)  -Training of subjective measures and review from an independent expert prior to publication.  -I now insist all data be presented as scatter plots rather than bar graphs.,As above,Basic Science,
27,"2019-03-18 10:09:16",,,,,,,,,,,,,,,,Too much competition for too little funding,,,Training too many PhD students given the level of research funding available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"2019-03-18 10:40:44",,,,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,Poor-quality systematic reviews and meta-analyses,Poor research culture of institutions/research groups,,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,,,,"Sharing code that I used for analysis (as I don't 'own' the data that I worked with so far, I was not able to make the data open. but some of the data I used is accessible to researchers anyway upon request).  Reporting of studies according to guidelines (e.g. STROBE or CONSORT or PRISMA).  Analysing data according to previously defined research questions or hypotheses. I would never re-analyse 'null' results until they are not null results any longer.  Talking to fellow researchers to use statistical programs that allow to write a code that can be saved, improved and re-run as often as necessary (instead of using drop-down menus or instead of using excel and pretending that this is a statistical program).  I am still an early career researcher, but I try to oppose research practices of senior researchers that I think are not okay (e.g. putting some quite random authors that did not contribute to the manuscript on the author list, re-analysing the data to find nicer results...) mostly by asking why they want to do that.   ",None that I am aware of. ,Public Health,
29,"2019-03-18 10:34:50",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,,,Not enough funding available for those from smaller research groups. ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,New national funding for fellowships for statisticians and health economists,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,,,None,None,Health Services Research,
30,"2019-03-18 10:56:18",,,Low rates of data and code sharing,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,Insufficient national oversight of universities and research institutes,,Poor research culture of institutions/research groups,,,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,That a national advisory board for research integrity be created (see this recent article on plans in the US),,,,"Preregister predictions on the Open Science Framework, along with experiment code, de-identified data, and analysis scripts in RMarkdown. Publish preprints on arXiv repositories.","Not much. UQ is moving toward using in-house software (UQ Research Data Manager), which is less about making research open and transparent and more about risk management.",Basic Science,
31,"2019-03-18 10:42:48",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,Suppression/sanitisation of unfavourable or commercially damaging results,,,Discrimination against female researchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"2019-03-18 10:52:37",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,,Researchers and the media hyping preliminary results that give the public false hope,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,That some funding be specifically set aside to fund replication studies,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,,,none,none,Public Health,
33,"2019-03-18 11:29:58",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,Too much competition for too little funding,,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,,,,,,,,That specific funding be set aside for truly innovative projects,,,,,translation of research into practice,none,none,Health Services Research,
34,"2019-03-18 11:39:21",,,Low rates of data and code sharing,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,Too much competition for too little funding,,,,,,The grant review process. Reviewers in competition with grant applicants leads to less robust review. Grants awarded to the experienced researcher rather than to the innovative project (from a less experienced researcher) ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,,That specific funding be set aside for truly innovative projects,,,,,,ICH GCP  National Statement ,Internal SOP  Internal Audits ,Clinical Sciences,
35,"2019-03-18 11:40:19",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,Poor-quality systematic reviews and meta-analyses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"2019-03-18 11:54:34",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,,,,,Mandating the inclusion of accredited statisticians and data management experts on research teams,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,New national funding for fellowships for statisticians and health economists,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,,,-,-,Other,Statistics
37,"2019-03-18 13:17:06",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,Too much competition for too little funding,,,,,,"There are concerns about PhD students not being able to find jobs after they are conferred. However, I believe that the research skills are required and relevant for industry. There needs to be greater engagement with industry to support research.",,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,There needs to be greater support for early career researchers (ECRs) to work on innovative projects and opportunities to network with well established researchers (limited opportunity with NHMRC Fellowships etc).    Engagement of ECRs with reputable journal editorial boards / working alongside journal editors should be further promoted (this will increase understanding of research quality and help to avoid predatory journal use). ,Involving health consumers with lived experiences in research design and throughout the research study as experts.    Only presenting at research conferences when a paper has been submitted to a journal (under review)    Peer review of research design by an external researcher,Regular research workshops on various topics     Regular workshops for supervisors (and supervision accreditation),Health Services Research,
38,"2019-03-18 14:50:59",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,Too much competition for too little funding,,,,,,Focus of research positions in academic setting rather than support/funding positions for researchers embedded in the clinical setting (which leads to greater TRIP focused research) ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,,,,,,,,"Guidelines for research conduct and reporting (e.g. CONSORT, PRISMA) ",Large focus of conduct of ethical research. ,Health Services Research,
39,"2019-03-18 15:05:31",,,Low rates of data and code sharing,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,Resistance to correct or retract flawed papers,,,Poor research culture of institutions/research groups,,,,,,,,,Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",New national funding for fellowships for statisticians and health economists,,,,,,,,,,,,Health Services Research,
40,"2019-03-18 15:33:58",,,,,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,Discrimination against female researchers,,"There is a huge lack of training in statistics, including study design and ethical considerations, for scientists in Australia. In some disciplines this only occurs in Honours and students have had a huge gap between their last statistics/maths class at school and encountering statistics for their research. A five day intensive course as often occurs in Honours is insufficient to get across the critical thinking that comes through statistical training and thinking! Frequently the supervisors are ill equipped to support the students in statistics and statistical consulting groups at universities are squeezed due to the high numbers of staff and students needing assistance. ","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",Mandating the inclusion of accredited statisticians and data management experts on research teams,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,New national funding for fellowships for statisticians and health economists,,,,,,,,,Greater support for statistical consultancy groups in Health Faculties. These are often underfunded and highly dependent on grant success when this is an important core discipline and so should receive core funding to ensure statistical education is a top priority.,"I ensure that I refer to the appropriate guidelines (CONSORT, STROBE, PRISMA, etc.) when conducting and reporting my research. I use clear statistical analysis plans prior to conducting my analysis. I share my data preparation and analysis code with other researchers involved in the study (although this could perhaps be shared more widely). I ensure that the code is appropriately annotated to justify decisions made. I conduct sensitivity analyses to determine how sensitive my findings are to different assumptions. I write up and try and publish null findings. Systematic reviews and trials that I am involved in are registered.","None that I am aware of. There is a biostatistics and data management consultancy group that try and support researchers produce quality output. However, there is no requirement that researchers engage with this group.",Public Health,
41,"2019-03-18 16:38:30",,Low numbers of replication studies performed (for lack of funding or other reasons),,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,,,,,Discrimination against female researchers,Researchers and the media hyping preliminary results that give the public false hope,"framework to measure, evaluate and report research impact",,,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,That a national advisory board for research integrity be created (see this recent article on plans in the US),,,"Resetting academic incentives to favour robust, reproducible research over high profile, big splash projects",Training programs for EMCRs  Mentoring networks  engaging consumers in project    ,Publication incentive scheme  KPIs for clinical/biomedical collaboration  Guideline for consumer engagement in research  biostatistics/epidemiology support for researchers  Structured mentoring programs  Peer support for EMCRs,Other,translational biomedical research
42,"2019-03-18 18:17:55",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",Unwillingness of journals and researchers to publish null results or replication studies,,,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,Resistance to correct or retract flawed papers,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,That some funding be specifically set aside to fund replication studies,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,None.,None.,Public Health,
43,"2019-03-18 19:29:16",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,,,"1. salami slicing  2. 'black box' analysis enabled by modern point and click stats packages without understanding the underlying principles - leads to 'wrong' analysis  3. poorly designed, implemented and reported pre-clinical research (ie animals).....aim of researchers is to get funding or a degree rather than improve (animal or human) health - ref Prof Malcolm Macleod for more information  4. p-value problem is important - ref John Ioannidis and Ken Rothman","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,,,,,,,Be careful of funding based on national burden of disease - research into 'rare' diseases is even now difficult to fund but such research leads to important health economic insights (these are cumulatively among the most costly burdens on the health system) and major advances in basic science (eg cystic fibrosis/congenital hyperinsulinism of infancy and ion channels),"1.Stringent use of appropriate standards of reporting (CONSORT, STROBE, ARRIVE etc to be found on the EQUATOR website FROM THE DESIGN STAGE  2. Statistical analysis must be performed using code rather than 'point and click' so that analysis is reproducible and records all data used/not used  3. Write clearly testable hypotheses and a statistical analysis plan at the design stage",It is very ad hoc and depends on the experience and research education of the lead investigators,Clinical Sciences,
44,"2019-03-18 20:27:41",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,,,,,,Lack of co-ordination of research efforts - competing rather than collaborating when we are such a small community.,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,,,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,That a national advisory board for research integrity be created (see this recent article on plans in the US),,,,Set procedures for data management and analysis that are followed by all staff. Documentation rules,I don't know of any,Health Services Research,
45,"2019-03-18 21:37:17",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,,,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,Insufficient national oversight of universities and research institutes,,Poor research culture of institutions/research groups,,,,Training too many PhD students given the level of research funding available,,,"More constructive partnerships with sectors outside of academia. Developing a better appreciation of the 'real world' translation and implementation of evidence into health policy, practice and planning. A clearer realisation that 'innovation' (whilst good) also requires resources and staff 'on the ground'.  ",,Mandating the inclusion of accredited statisticians and data management experts on research teams,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,,,Public Health,
46,"2019-03-19 08:18:47",,,,Low rates of registration of protocols and clinical trials,,,,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,Poor research culture of institutions/research groups,Too much competition for too little funding,,,,,,"Current lack of guiding framework for standards relating to clinical trials, the commission have drafted a clinical trials governance framework. This will affect accreditation standard for all hospitals/health providers conducting clinical research and will assist and guide practice. This topic should be acknowledged and discussed on the day. ","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,,Introduction of governance frameworks relating to the conduct of clinical trials to ensure safety and standards of care. ,Health Services Research,
47,"2019-03-19 08:44:23",,,,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,Insufficient national oversight of universities and research institutes,,,,,Predatory journals and conferences,,,Researchers and the media hyping preliminary results that give the public false hope,The more successful you become as a researcher the greater the chance of being asked to do non research work. ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,Reporting guidelines   Employ good quality researchers   Train PhDs carefully. ,None,Health Services Research,
48,"2019-03-19 09:32:39",,,,Low rates of registration of protocols and clinical trials,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,,,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,,,Health Services Research,
49,"2019-03-19 11:52:53",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,Poor research culture of institutions/research groups,,,,,Discrimination against female researchers,,"There is a lack of a coordinated approach to translation of research findings. The onus falls on the researcher to tackle policy makers etc but this is rarely factored in to grant applications and therefore falls down - leaving the researcher feeling like all the planning and effort involved in conducting a high quality, rigorous study was wasted.    Predatory journals are also a big concern - how is the general public/media to decipher what's real and what's not?","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,"At a very grass roots level, all researcher who are involved in human research should have minimum training requirements (eg. Good Clinical Practice training; data management/statistical methods knowledge - not just 'how to' but 'why' as well to ensure that practices such as mining for p values and poor research conduct is discouraged). I know this won't stamp it out entirely, but it would be a start. Journals also need to get tougher with authors and need to ask for more proof that the study has been conducted rigorously. ","We engage a statistician at the very outset to ensure methodological rigour. We have recently started engaging more with patients to ensure that our outcomes are patient important. The initial research idea comes from the clinical area we work in (through communications with clinicians to identify clinical practices in need of improvement/refinement; or analysis of patient safety data/sentinel events) - so hopefully the research is relevant to clinicians who are caring for the patients, and the patients themselves.","None - which is appalling. There are no minimum requirements set at an institutional level - the onus is wholly and solely on the investigator to ensure that they do the right thing, and unfortunately there are investigators who are only driven by publications and accolades, with only passing acknowledgement to how their research will improve things for patients. ",Clinical Sciences,
50,"2019-03-19 12:36:36",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,Poor research culture of institutions/research groups,Too much competition for too little funding,,,,,Researchers and the media hyping preliminary results that give the public false hope,"The major issue is the high stress funding system which encourages (or forces) unethical scientific practices. While competitiveness should be encouraged, current funding system only encourages stressful management of research projects and often results in bad quality data being published, for the sake of publications rather than ensuring bigger picture publications or answering key questions. ",,,,,That some funding be specifically set aside to fund replication studies,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,That a national advisory board for research integrity be created (see this recent article on plans in the US),,,,Utilise appropriate controls.  Minimise Animal health burden and impacts.   Using appropriate health models.,Most of the policies UQ implements is to maximise publication numbers/impact factors rather than the focus of research quality or ethical practices. ,Basic Science,
51,"2019-03-20 08:53:05",,,Low rates of data and code sharing,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,Insufficient national oversight of universities and research institutes,,,Too much competition for too little funding,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,"More financial support needed in terms of grants for PhD students - scholarships only cover cost of living, need more financial assistance available for the research itself. ",,,,,,,,,,,,,,,,,,,,,,,,,,
52,"2019-03-20 13:06:26",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,,Researchers and the media hyping preliminary results that give the public false hope,,,,,,That some funding be specifically set aside to fund replication studies,,,,,,,,,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,,,Health Services Research,
53,"2019-03-21 11:45:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"2019-03-21 16:08:55",,,,,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,"1. Failure to build on previous research - by doing systematic reviews of previous research before new research.  2. Poor research questions that focus on a do-able publication rather than as a step to answering a real problem (Pasteur’s Quadrant).  3. Weak collaborative research networks, particularly for multicentre basic science.","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,,,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,"Extend the last option beyond trials - that all types of research be registered.  Also funding to automation of research synthesis - failure to know what we already know is holding us back, but doing manually is too slow.",Systematic reviews before new research (done used automation tools).  Protocol templates for research protocols and papers.  Training of all research staff in research and synthesis methods.,Research Integrity training,Clinical Sciences,
55,"2019-03-22 15:18:14",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,Too much competition for too little funding,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,Lack of applied researchers or research with practical application ,,,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,That specific funding be set aside for truly innovative projects,,,,,Greater funding for research and practice partnerships,,,Health Services Research,
